"ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"000009.SH","20140306","3439.889","3434.93","3447.078","3393.153","3441.86","-1.971","-0.0573","36403302","31515484.701"
"000009.SH","20140305","3441.86","3468.51","3474.68","3435.731","3461.903","-20.043","-0.579","36966385","31991325.171"
"000009.SH","20140304","3461.903","3453.822","3466.657","3420.761","3468.794","-6.891","-0.1987","38041252","34250086.563"
"000009.SH","20140303","3468.794","3390.068","3468.944","3383.981","3392.224","76.57","2.2572","42759458","37109157.438"
"000009.SH","20140228","3392.224","3359.347","3392.864","3312.748","3365.42","26.804","0.7965","36017567","30812705.494"
"000009.SH","20140227","3365.42","3395.886","3443.463","3362.595","3391.856","-26.436","-0.7794","40269980","35164042.185"
"000009.SH","20140226","3391.856","3360.303","3392.686","3316.786","3374.975","16.881","0.5002","36113106","31460824.474"
"000009.SH","20140225","3374.975","3491.408","3513.978","3358.815","3486.854","-111.879","-3.2086","47375215","44423204.502"
"000009.SH","20140224","3486.854","3496.446","3496.446","3444.277","3513.402","-26.548","-0.7556","39660003","35787202.717"
"000009.SH","20140221","3513.402","3540.096","3543.55","3481.776","3542.423","-29.021","-0.8192","39360597","33566395.114"
"000009.SH","20140220","3542.423","3583.21","3596.514","3535.362","3575.134","-32.711","-0.915","49691750","43079957.26"
"000009.SH","20140219","3575.134","3566.468","3588.304","3546.449","3569.565","5.569","0.156","45562652","41182923.748"
"000009.SH","20140218","3569.565","3576.34","3580.12","3552.86","3575.616","-6.051","-0.1692","48090167","43921840.047"
"000009.SH","20140217","3575.616","3528.428","3575.842","3525.291","3515.217","60.399","1.7182","49236416","44307603.991"
"000009.SH","20140214","3515.217","3455.204","3515.217","3453.013","3456.239","58.978","1.7064","38368828","34049319.927"
"000009.SH","20140213","3456.239","3496.722","3505.468","3455.752","3498.037","-41.798","-1.1949","45422626","40593205.553"
"000009.SH","20140212","3498.037","3466.843","3498.373","3454.918","3463.672","34.365","0.9922","41734521","37989020.572"
"000009.SH","20140211","3463.672","3449.686","3472.879","3420.23","3445.89","17.782","0.516","43978708","40889460.56"
"000009.SH","20140210","3445.89","3364.579","3446.165","3364.579","3356.196","89.694","2.6725","40229112","37302182.029"
"000009.SH","20140207","3356.196","3282.531","3356.221","3272.274","3302.38","53.816","1.6296","24565639","22857759.065"
"000009.SH","20140130","3302.38","3315.873","3321.841","3296.963","3320.838","-18.458","-0.5558","19364553","18575860.386"
"000009.SH","20140129","3320.838","3297.306","3322.673","3297.272","3295.889","24.949","0.757","20831300","20334108.634"
"000009.SH","20140128","3295.889","3299.569","3316.193","3274.124","3297.904","-2.015","-0.0611","21969094","21061483.32"
